4616271|Brooklyn|BQE S LEONARD STREET - ATLANTIC AVENUE|Mon 2016-11-07 10:59:35|19.26|779|40.69158,-73.99929 40.69221,-73.99953 40.69286,-73.99952 40.69335,-73.99936 40.69411,-73.99907 40.69508,-73.99859 40.69741,-73.99748 40.69959,-73.99644 40.69983,-73.99627 40.70022,-73.9959 40.70053,-73.99547 40.70088,-73.9949 40.70116,-73.99435 40.70146,-73.99355 40.70167,-73.99265 40.70173,-73.99195 40.70173,-73.9912 40.70166,-73.99053 40.7015,-73.98931 40.70117,-73.98709 40.70103,-73.98646 40.70088,-73.986 40.70064,-73.98554 40.70031,-73.98508 40.69964,-73.98437 40.69935,-73.98405 40.69803,-73.9826 40.69731,-73.98185 40.697,-73.9815 40.69661,-73.98076 40.69646,-73.9802 40.69638,-73.97942 40.69582,-73.96556 40.69591,-73.96469 40.69609,-73.96408 40.69646,-73.96341 40.697,-73.9629 40.69788,-73.96255 40.70015,-73.96182 40.70144,-73.96121 40.7025,-73.9606 40.70503,-73.95916 40.70697,-73.95807 40.70904,-73.95686 40.7102,-73.95621 40.71106,-73.95596 40.71181,-73.95556 40.71246,-73.95508 40.7134,-73.95405 40.71407,-73.95328 40.716,-73.95091 40.71773,-73.94829|
4616252|Bronx|BRP N WATSON AVENUE - FORDHAM ROAD|Mon 2016-11-07 10:59:35|54.06|102|40.85635,-73.87233 40.85219,-73.87137 40.85007,-73.87111 40.84694,-73.87115 40.84596,-73.87131 40.8424,-73.87202 40.83961,-73.87273 40.83624,-73.87372 40.83495,-73.8739 40.83336,-73.87383 40.83197,-73.87368 40.82985,-73.87313 40.82683,-73.87264|
4616266|Bronx|BRP S FORDHAM ROAD - WATSON AVENUE|Mon 2016-11-07 10:59:35|54.06|102|40.85628,-73.87254 40.85218,-73.87158 40.85017,-73.87145 40.84833,-73.87149 40.84585,-73.87152 40.84239,-73.87226 40.83964,-73.87291 40.8363,-73.8739 40.83495,-73.87408 40.83339,-73.87407 40.83197,-73.87392 40.82984,-73.87333 40.82681,-73.87287|
4456497|Queens|BWB N Queens Anchorage - Toll Plaza|Mon 2016-11-07 10:59:39|31.07|150|40.79932,-73.82809 40.8006,-73.82895 40.8047,-73.83146 40.81144,-73.83571 40.81202,-73.83603 40.81249,-73.83621 40.81285,-73.83626 40.81482,-73.83629|
4616305|Bronx|BWB N Toll Plaza - HRP N Lafayatte Ave|Mon 2016-11-07 10:59:35|54.06|52|40.81477,-73.83629 40.81611,-73.83627 40.81784,-73.83601 40.82024,-73.83589 40.82396,-73.83607 40.82513,-73.83624|
4616312|Queens|BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)|Mon 2016-11-07 10:59:35|54.06|108|40.79926,-73.82825 40.79751,-73.82709 40.79571,-73.8258 40.79329,-73.82419 40.79259,-73.82378 40.79168,-73.8235 40.79076,-73.82342 40.78861,-73.82362 40.78704,-73.82414 40.78439,-73.8247 40.78249,-73.82503 40.7817,-73.82527 40.78065,-73.82579 40.77603,-73.8285 40.77444,-73.8296 40.77385,-73.83011 40.77281,-73.8313 40.7718,-73.83281 40.77146,-73.83342|
4456496|Bronx|BWB S Toll Plaza - Queens Anchorage|Mon 2016-11-07 10:59:39|47.22|99|40.81476,-73.83668 40.81354,-73.83659 40.81305,-73.8365 40.81245,-73.83638 40.81184,-73.83612 40.8111,-73.83562 40.80493,-73.83182 40.79925,-73.82825|
4616355|Queens|Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP|Mon 2016-11-07 10:59:36|59.03|156|40.66639,-73.76248 40.66579,-73.75706 40.66574,-73.7563 40.66571,-73.7494 40.66542,-73.74244 40.66552,-73.74173 40.66564,-73.74133 40.66592,-73.74068 40.6661,-73.74033 40.66662,-73.73964 40.6671,-73.73915 40.66821,-73.7382 40.67221,-73.73551 40.6737,-73.73436 40.67533,-73.73296 40.67873,-73.72973 40.68209,-73.72737 40.68331,-73.72663 40.68343,-73.7266|
4616356|Queens|Belt Pkwy W 182nd St - JFK Expressway|Mon 2016-11-07 10:59:36|59.03|64|40.66652,-73.76246 40.66738,-73.77021 40.66751,-73.77209 40.66752,-73.77286 40.66749,-73.77559 40.66722,-73.78108 40.66673,-73.78647|
4616357|Queens|Belt Pkwy W JFK Expressway - VWE N Jamaica Ave|Mon 2016-11-07 10:59:36|18.02|649|40.66673,-73.78649 40.66642,-73.78958 40.66642,-73.78958 40.66642,-73.79042 40.6665,-73.79161 40.66677,-73.79324 40.66677,-73.79324 40.66674,-73.79611 40.66674,-73.79611 40.66672,-73.79936 40.66681,-73.79968 40.66697,-73.79989 40.66697,-73.79989 40.66788,-73.80072 40.66822,-73.80092 40.66869,-73.801 40.6697,-73.80091 40.67136,-73.80087 40.67136,-73.80087 40.67278,-73.801 40.67345,-73.80116 40.67397,-73.80138 40.674,-73.80143 40.674,-73.80143 40.67697,-73.80278 40.68022,-73.80434 40.68097,-73.80465 40.68588,-73.80707 40.69192,-73.81049 40.69492,-73.81213 40.69698,-73.81342 40.69976,-73.81499 40.70257,-73.81634|
4616310|Bronx|CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE|Wed 2016-11-02 11:38:30|1.24|2844|40.84628,-73.93225 40.84587,-73.93124 40.8457,-73.9299 40.84469,-73.92535 40.84462,-73.92409 40.84471,-73.9224 40.84482,-73.92045 40.84505,-73.91534 40.84505,-73.91194 40.84503,-73.91068 40.84496,-73.90936|
4616309|Bronx|CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE|Wed 2016-11-02 11:10:30|34.18|121|40.84643,-73.93213 40.84589,-73.93032 40.84516,-73.92739 40.84478,-73.92539 40.84471,-73.92411 40.84478,-73.92246 40.84489,-73.92045 40.84511,-73.91534 40.84513,-73.91194 40.84511,-73.9108 40.84503,-73.90936|
4616297|Bronx|CBE E CASTLE HILL AVE - BE N WATERBURY AVE|Mon 2016-11-07 10:59:35|47.85|168|40.83022,-73.85064 40.82953,-73.8484 40.8291,-73.84749 40.82836,-73.8459 40.82814,-73.84524 40.82803,-73.84464 40.82799,-73.84391 40.82804,-73.84298 40.82819,-73.84176 40.82863,-73.83844 40.82887,-73.83673 40.82919,-73.83548 40.82938,-73.83488 40.82977,-73.83385 40.83024,-73.8329 40.83068,-73.83216 40.83193,-73.83015 40.83287,-73.82864 40.83334,-73.82773 40.83428,-73.82581 40.83495,-73.82512 40.83564,-73.82473 40.83655,-73.82464 40.83731,-73.82481 40.83881,-73.8253|
4616253|Bronx|CBE E TAYLOR AVENUE - CASTLE HILL AVENUE|Mon 2016-11-07 10:59:35|47.85|48|40.83472,-73.86593 40.83357,-73.86199 40.83273,-73.8592 40.8312,-73.85409 40.83017,-73.85069 40.83015,-73.85071 40.83013,-73.85073|
4616267|Bronx|CBE W CASTLE HILL AVENUE - TAYLOR AVENUE|Mon 2016-11-07 10:59:35|11.18|252|40.83042,-73.85081 40.83156,-73.85467 40.83238,-73.85734 40.83312,-73.85989 40.83335,-73.86046 40.83352,-73.86113 40.83374,-73.86201 40.83415,-73.86333 40.83452,-73.86458 40.83504,-73.86631|
4620315|Bronx|CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS|Wed 2016-11-02 10:35:58|11.81|661|40.84667,-73.93188 40.84733,-73.9335 40.84871,-73.9369 40.84935,-73.93988 40.84962,-73.94175 40.85012,-73.94462 40.85127,-73.95037 40.85172,-73.95283 40.8521,-73.95515 40.85295,-73.95957 40.85329,-73.96061 40.85352,-73.96142 40.85362,-73.96192 40.85407,-73.96322|
4620332|Bronx|CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)|Wed 2016-11-02 10:32:58|11.18|417|40.84671,-73.93194 40.84603,-73.93018 40.84539,-73.92753 40.845,-73.92589 40.84486,-73.92471 40.84488,-73.92327 40.84513,-73.91885 40.84527,-73.91313 40.84516,-73.90937|
